member_id,member_name,summary_text,generated_at,generator,model,source,prompt_version
4075,Bart Dochy,"Bart Dochy zetelt voor cd&v en vertegenwoordigt Kieskring West-Vlaanderen vanuit zetel 36.
In het parlementaire werk is deze politicus actief, met 56 schriftelijke en 26 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 96.5% en de commissie-aanwezigheid 87.6%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Landbouw en dierenwelzijn, Klimaat en milieu, Mobiliteit.
Commissiewerk loopt onder meer via Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn, Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening en andere commissies.
Opvallende extra profielinformatie: technisch commercieel vertegenwoordiger ; landbouwconsulent.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4643,Bart Van Opstal,"Bart Van Opstal zetelt voor Vlaams Belang en vertegenwoordigt Kieskring Antwerpen vanuit zetel 85.
In het parlementaire werk is deze politicus zeer actief, met 190 schriftelijke en 65 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 96.5% en de commissie-aanwezigheid 70.0%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Cultuur, media en sport, Werk en economie, Begroting en financiën.
Commissiewerk loopt onder meer via Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed, Commissie voor Cultuur, Jeugd, Sport en Media en andere commissies.
Opvallende extra profielinformatie: Politieagent ; Zelfstandig ondernemer in de sport- en vastgoedsector.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4110,Bert Maertens,"Bert Maertens zetelt voor N-VA en vertegenwoordigt Kieskring West-Vlaanderen vanuit zetel 6.
In het parlementaire werk is deze politicus zeer actief, met 261 schriftelijke en 57 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 96.5% en de commissie-aanwezigheid 86.5%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Mobiliteit, Werk en economie, Binnenlands bestuur.
Commissiewerk loopt onder meer via Commissie voor Binnenlands Bestuur en Inburgering, Commissie voor Mobiliteit en Openbare Werken en andere commissies.
Opvallende extra profielinformatie: raadgever ; parlementair medewerker.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4624,Bieke Verlinden,"Bieke Verlinden zetelt voor Vooruit en vertegenwoordigt Kieskring Vlaams-Brabant vanuit zetel 121.
In het parlementaire werk is deze politicus actief, met 23 schriftelijke en 43 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 98.8% en de commissie-aanwezigheid 72.0%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Klimaat en milieu, Werk en economie, Zorg en welzijn.
Commissiewerk loopt onder meer via Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie, Commissie voor Binnenlands Bestuur en Inburgering en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4640,Bogdan Vanden Berghe,"Bogdan Vanden Berghe zetelt voor Groen en vertegenwoordigt Kieskring Antwerpen vanuit zetel 100.
In het parlementaire werk is deze politicus actief, met 74 schriftelijke en 71 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 98.8% en de commissie-aanwezigheid 89.6%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Mobiliteit, Cultuur, media en sport, Werk en economie.
Commissiewerk loopt onder meer via Commissie voor Cultuur, Jeugd, Sport en Media, Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4619,Bram Jaques,"Bram Jaques zetelt voor Groen en vertegenwoordigt Kieskring Brussel-Hoofdstad vanuit zetel 101.
In het parlementaire werk is deze politicus zeer actief, met 97 schriftelijke en 79 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 92.9% en de commissie-aanwezigheid 62.3%, wat wijst op een profiel dat redelijk aanwezig is.
De meest zichtbare beleidsthema's zijn Cultuur, media en sport, Begroting en financiën, Werk en economie.
Commissiewerk loopt onder meer via Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed, Commissie voor Cultuur, Jeugd, Sport en Media en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4443,Brecht Warnez,"Brecht Warnez zetelt voor cd&v en vertegenwoordigt Kieskring West-Vlaanderen vanuit zetel 53.
In het parlementaire werk is deze politicus zeer actief, met 732 schriftelijke en 143 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 100.0% en de commissie-aanwezigheid 100.0%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Onderwijs, Mobiliteit, Begroting en financiën.
Commissiewerk loopt onder meer via Commissie voor Binnenlands Bestuur en Inburgering, Commissie voor Mobiliteit en Openbare Werken en andere commissies.
Opvallende extra profielinformatie: Gastprofessor Bestuursrecht.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4408,Carmen Ryheul,"Carmen Ryheul zetelt voor Vlaams Belang en vertegenwoordigt Kieskring West-Vlaanderen vanuit zetel 61.
In het parlementaire werk is deze politicus eerder selectief actief, met 33 schriftelijke en 10 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 69.4% en de commissie-aanwezigheid 29.4%, wat wijst op een profiel dat wisselend aanwezig is.
De meest zichtbare beleidsthema's zijn Mobiliteit, Klimaat en milieu, Wonen en energie.
Commissiewerk loopt onder meer via Commissie voor Mobiliteit en Openbare Werken, Commissie voor Wonen, Toerisme, Energie en Klimaat en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
3418,Chris Janssens,"Chris Janssens zetelt voor Vlaams Belang en vertegenwoordigt Kieskring Limburg vanuit zetel 1.
In het parlementaire werk is deze politicus zeer actief, met 160 schriftelijke en 66 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 95.3% en de commissie-aanwezigheid 83.5%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Migratie en inburgering, Werk en economie, Begroting en financiën.
Commissiewerk loopt onder meer via Commissie voor Cultuur, Jeugd, Sport en Media, Commissie voor Binnenlands Bestuur en Inburgering en andere commissies.
Opvallende extra profielinformatie: notarieel medewerker ; politiek medewerker.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4406,Conner Rousseau,"Conner Rousseau zetelt voor Vooruit en vertegenwoordigt Kieskring Oost-Vlaanderen vanuit zetel 123.
In het parlementaire werk is deze politicus eerder selectief actief, met 6 schriftelijke en 0 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 74.1% en de commissie-aanwezigheid 0.0%, wat wijst op een profiel dat wisselend aanwezig is.
De meest zichtbare beleidsthema's zijn Cultuur, media en sport, Zorg en welzijn, Werk en economie.
Commissiewerk loopt onder meer via Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking.
Opvallende extra profielinformatie: adviseur communicatie ; adviseur communicatie.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4606,Debby Burssens,"Debby Burssens zetelt voor PVDA en vertegenwoordigt Kieskring Oost-Vlaanderen vanuit zetel 80.
In het parlementaire werk is deze politicus eerder selectief actief, met 25 schriftelijke en 29 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 98.8% en de commissie-aanwezigheid 77.8%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Klimaat en milieu, Landbouw en dierenwelzijn, Armoede en sociale bescherming.
Commissiewerk loopt onder meer via Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening, Commissie voor Landbouw, Visserij en Plattelandsbeleid en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
1847,Dominiek Lootens-Stael,"Dominiek Lootens-Stael zetelt voor Vlaams Belang en vertegenwoordigt Kieskring Brussel-Hoofdstad vanuit zetel 29.
In het parlementaire werk is deze politicus eerder selectief actief, met 5 schriftelijke en 28 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 78.8% en de commissie-aanwezigheid 52.8%, wat wijst op een profiel dat wisselend aanwezig is.
De meest zichtbare beleidsthema's zijn Cultuur, media en sport, Landbouw en dierenwelzijn, Onderwijs.
Commissiewerk loopt onder meer via Commissie voor Cultuur, Jeugd, Sport en Media, Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn en andere commissies.
Opvallende extra profielinformatie: gewezen bediende.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4614,Dries Devillé,"Dries Devillé zetelt voor Vlaams Belang en vertegenwoordigt Kieskring Antwerpen vanuit zetel 62.
In het parlementaire werk is deze politicus zeer actief, met 96 schriftelijke en 69 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 98.8% en de commissie-aanwezigheid 92.6%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Klimaat en milieu, Wonen en energie, Begroting en financiën.
Commissiewerk loopt onder meer via Commissie voor Wonen, Toerisme, Energie en Klimaat, Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
3965,Egbert Lachaert,"Egbert Lachaert zetelt voor Anders. en vertegenwoordigt Kieskring Oost-Vlaanderen vanuit zetel 10.
In het parlementaire werk is deze politicus actief, met 31 schriftelijke en 54 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 96.5% en de commissie-aanwezigheid 62.5%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Zorg en welzijn, Begroting en financiën, Wonen en energie.
Commissiewerk loopt onder meer via Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed, Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen en andere commissies.
Opvallende extra profielinformatie: advocaat ; partijvoorzitter Open Vld.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
3221,Els Robeyns,"Els Robeyns zetelt voor Vooruit en vertegenwoordigt Kieskring Limburg vanuit zetel 39.
In het parlementaire werk is deze politicus actief, met 73 schriftelijke en 56 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 95.3% en de commissie-aanwezigheid 70.9%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Mobiliteit, Landbouw en dierenwelzijn, Werk en economie.
Commissiewerk loopt onder meer via Commissie voor Binnenlands Bestuur en Inburgering, Commissie voor Mobiliteit en Openbare Werken en andere commissies.
Opvallende extra profielinformatie: bediende ; dossierbeheerder.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4416,Els Sterckx,"Els Sterckx zetelt voor Vlaams Belang en vertegenwoordigt Kieskring Antwerpen vanuit zetel 82.
In het parlementaire werk is deze politicus actief, met 47 schriftelijke en 20 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 88.2% en de commissie-aanwezigheid 66.0%, wat wijst op een profiel dat redelijk aanwezig is.
De meest zichtbare beleidsthema's zijn Landbouw en dierenwelzijn, Zorg en welzijn, Wonen en energie.
Commissiewerk loopt onder meer via Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn, Commissie voor Wonen, Toerisme, Energie en Klimaat en andere commissies.
Opvallende extra profielinformatie: beroepsmilitair ; administratief medewerker.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4610,Eva De Bleeker,"Eva De Bleeker zetelt voor Anders. en vertegenwoordigt Kieskring Vlaams-Brabant vanuit zetel 57.
In het parlementaire werk is deze politicus zeer actief, met 98 schriftelijke en 60 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 87.1% en de commissie-aanwezigheid 83.3%, wat wijst op een profiel dat redelijk aanwezig is.
De meest zichtbare beleidsthema's zijn Klimaat en milieu, Werk en economie, Landbouw en dierenwelzijn.
Commissiewerk loopt onder meer via Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie, Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn en andere commissies.
Opvallende extra profielinformatie: partijvoorzitter Open Vld.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4628,Eva Platteau,"Eva Platteau zetelt voor Groen en vertegenwoordigt Kieskring Vlaams-Brabant vanuit zetel 58.
In het parlementaire werk is deze politicus zeer actief, met 75 schriftelijke en 112 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 91.8% en de commissie-aanwezigheid 81.4%, wat wijst op een profiel dat redelijk aanwezig is.
De meest zichtbare beleidsthema's zijn Werk en economie, Armoede en sociale bescherming, Klimaat en milieu.
Commissiewerk loopt onder meer via Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie, Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening en andere commissies.
Opvallende extra profielinformatie: Assistent bij het Centrum voor sociologie ; Academisch onderzoeker.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4634,Eva Ryde,"Eva Ryde zetelt voor N-VA en vertegenwoordigt Kieskring West-Vlaanderen vanuit zetel 66.
In het parlementaire werk is deze politicus zeer actief, met 71 schriftelijke en 81 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 96.5% en de commissie-aanwezigheid 84.7%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Zorg en welzijn, Cultuur, media en sport, Landbouw en dierenwelzijn.
Commissiewerk loopt onder meer via Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening, Commissie voor Landbouw, Visserij en Plattelandsbeleid en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4387,Filip Brusselmans,"Filip Brusselmans zetelt voor Vlaams Belang en vertegenwoordigt Kieskring Oost-Vlaanderen vanuit zetel 3.
In het parlementaire werk is deze politicus actief, met 51 schriftelijke en 61 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 91.8% en de commissie-aanwezigheid 42.2%, wat wijst op een profiel dat redelijk aanwezig is.
De meest zichtbare beleidsthema's zijn Cultuur, media en sport, Werk en economie, Wonen en energie.
Commissiewerk loopt onder meer via Commissie voor Cultuur, Jeugd, Sport en Media, Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
1803,Filip Dewinter,"Filip Dewinter zetelt voor Vlaams Belang en vertegenwoordigt Kieskring Antwerpen vanuit zetel 28.
In het parlementaire werk is deze politicus eerder selectief actief, met 16 schriftelijke en 7 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 84.7% en de commissie-aanwezigheid 0.0%, wat wijst op een profiel dat wisselend aanwezig is.
De meest zichtbare beleidsthema's zijn Migratie en inburgering, Binnenlands bestuur, Landbouw en dierenwelzijn.
Commissiewerk loopt onder meer via Commissie voor Binnenlands Bestuur en Inburgering.
Opvallende extra profielinformatie: journalist.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4603,Fourat Ben Chikha,"Fourat Ben Chikha zetelt voor Groen en vertegenwoordigt Kieskring Oost-Vlaanderen vanuit zetel 43.
In het parlementaire werk is deze politicus actief, met 26 schriftelijke en 69 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 91.8% en de commissie-aanwezigheid 54.7%, wat wijst op een profiel dat redelijk aanwezig is.
De meest zichtbare beleidsthema's zijn Wonen en energie, Onderwijs, Armoede en sociale bescherming.
Commissiewerk loopt onder meer via Commissie voor Onderwijs, Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4637,Frederik Sioen,"Frederik Sioen zetelt voor Vooruit en vertegenwoordigt Kieskring Oost-Vlaanderen vanuit zetel 73.
In het parlementaire werk is deze politicus actief, met 23 schriftelijke en 78 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 98.8% en de commissie-aanwezigheid 77.8%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Cultuur, media en sport, Klimaat en milieu, Werk en economie.
Commissiewerk loopt onder meer via Commissie voor Cultuur, Jeugd, Sport en Media, Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4647,Freija Van den Driessche,"Freija Van den Driessche zetelt voor Vlaams Belang en vertegenwoordigt Kieskring Oost-Vlaanderen vanuit zetel 14.
In het parlementaire werk is deze politicus zeer actief, met 226 schriftelijke en 46 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 94.1% en de commissie-aanwezigheid 84.7%, wat wijst op een profiel dat redelijk aanwezig is.
De meest zichtbare beleidsthema's zijn Zorg en welzijn, Werk en economie, Begroting en financiën.
Commissiewerk loopt onder meer via Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed, Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4405,Freya Perdaens,"Freya Perdaens zetelt voor N-VA en vertegenwoordigt Kieskring Antwerpen vanuit zetel 69.
In het parlementaire werk is deze politicus zeer actief, met 108 schriftelijke en 83 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 98.8% en de commissie-aanwezigheid 70.2%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Cultuur, media en sport, Zorg en welzijn, Werk en economie.
Commissiewerk loopt onder meer via Commissie voor Cultuur, Jeugd, Sport en Media, Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening en andere commissies.
Opvallende extra profielinformatie: consulent ; operation and conversation & account manager.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
3458,Freya Van den Bossche,"Freya Van den Bossche zetelt voor Vooruit en vertegenwoordigt Kieskring Oost-Vlaanderen vanuit zetel 125.
In het parlementaire werk is deze politicus eerder selectief actief, met 0 schriftelijke en 0 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 98.8% en de commissie-aanwezigheid 53.8%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Werk en economie.
Commissiewerk loopt onder meer via Commissie voor Reglement en Samenwerking, Deontologische Commissie.
Opvallende extra profielinformatie: adjunct van de directie ; klinisch psychologe.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
